2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT34.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT35.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT36.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT37.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT38.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT39.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT40.PRESENT_VALUE
2020-01-16 09:25:11 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT41.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT42.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT44.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT45.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT46.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT47.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT48.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT49.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT50.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT51.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT52.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT53.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT54.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT64.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT65.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT66.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT67.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT68.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM10_ACCE.UTM.CCT69.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.DAC11.DOOR.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.DAC11.EN.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.DAC12.DOOR.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.DAC12.EN.PRESENT_VALUE
2020-01-16 09:25:12 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.UTM.CCT43.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.UTM.DCW04.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.UTM.GRW03.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM11_ACCE.UTM.IRW01.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.DWP7.PRF.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.DWP8.PRF.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6ACV.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6ART.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6ASLT.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6AST.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6CV.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6SLT.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6SRT.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.FLRH.Z6SST.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL1.PXCM17_ACCE.UTM.DCW00.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCC12_ACCE.DAC13.DOOR.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCC12_ACCE.DAC13.EN.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM12_ACCE.LEVEL2.PXCM12:Address.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM12_ACCE.LEVEL2.PXCM12:ALMCNT.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM12_ACCE.LEVEL2.PXCM12:ALMCT2.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM12_ACCE.LEVEL2.PXCM12:BATT.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM8_ACCE.UTM.CCT19.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM8_ACCE.UTM.CCT20.PRESENT_VALUE
2020-01-16 09:25:13 - Inserting new tag into database - ACCE.LEVEL2.PXCM8_ACCE.UTM.CCT21.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT28A.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT28B.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT28C.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT29A.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT29B.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT29C.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT30A.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT30B.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.CCT30C.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LEVEL5.PXCM5_ACCE.UTM.DMS1.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.ATRAD.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.CLOSE.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.FS.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.HIALM.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.LOALM.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.LWRAD.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.MSP.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.OPEN.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.P11.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.SCV1.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.SCV2.PRESENT_VALUE
2020-01-16 09:25:14 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.SSW.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.SVA.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.SVB.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.TF6.1.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.TVOC.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.TVOCA.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.TVOCB.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.VOCCYCTIME.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.LVGWL.VOCSMPLCYC.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD1.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD10.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD11.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD12.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD13.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD14.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD2.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD3.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD4.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD5.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD6.PRESENT_VALUE
2020-01-16 09:25:15 - Inserting new tag into database - ACCE.LVGWL.PXCM18_ACCE.NAV.OAD7.PRESENT_VALUE
